Prompt,Tags
"A shiny new electric car parked on a winding coastal highway overlooking the ocean at sunset. Low angle perspective emphasizes sleek lines. Cinematic lighting and color grading.",product;automotive;photography
"Dynamic comic book panel of a masked hero frozen in an action leap, cloak trailing. High contrast lighting and vivid colors reminiscent of Jim Lee's illustrations.",comic;superhero;action
"An astronaut emerging from her landed vessel onto the surface of an asteroid covered in strange alien artifacts and crumbling megalithic ruins. Atmospheric lighting, cinematic composition.",sci-fi;space;concept art
"Whimsical illustration of an elderly goblin teaching potion brewing to children in front of a magical cottage in the woods.",fantasy;whimsical;concept art
"Samurai Space Racer, speeding through an interstellar race track, his samurai-inspired ship a blur of motion. Capture the sense of speed and adventure, rendered in a photorealistic, HDR style.",sci-fi;action;concept art
"Stylized anime character design of a baseball girl with bright eyes, holding a metal bat over her shoulder. Pink hair in pigtails flowing in the wind.",anime;sports;concept art
"Anime-style portrait of a glamour Belle Delphine robot amidst a junkyard. The scene has a Granblue Fantasy aesthetic, with her wide gorgeous eyes and smooth cell shading contrasting the grimy background.",anime;robot;portrait
"Retro 80's magical girl transformation sequence of a smiling blonde girl with a red bow in her hair, twirling with glittering energy ribbons wrapping her in a pink and white ruffled dress.",anime;magical girl;retro
"Graphic flat anime poster of a ninja dashing across rooftops under a crescent moon. Limited color palette with bold outlines.",anime;poster;action
"A shiny new electric car parked on a winding coastal highway overlooking the ocean at sunset. Low angle perspective emphasizes sleek lines. Cinematic lighting and color grading.",product;automotive;photography
"best quality, ultra high res, photorealistic, sfw, armored wizard, magical tattoos, apprentice, 1girl, looking at viewer, upper body, slender, small breasts, purple hair with white stripes, white croptop, (dark and moody universe:1.3), (elden ring style:1.3), (warhammer style:1.1), floating rocks, glowing pebbles, fiery dust, concept artist, global illumination, depth of field, gloomy, unsettling, splash art, art by artgerm and greg rutkowski and viktoria gavrilenko, scary smile, purple light, rule of the thirds",fantasy;concept art;dark
"3D render of an anthropomorphic pirate cat in adventurer clothes, standing in the busy dock of a pirate harbor. The scene captures the excitement and whimsy of a D&D adventure, with detailed subsurface scattering, fur rendering, and volumetric lighting.",3D;fantasy;anthropomorphic;concept art
"A cheerful pink unicorn jumping playfully through cotton candy clouds against a vibrant blue sky. Whimsical fantasy digital art.",fantasy;whimsical;cute
"A gigantic hourglass half-filled with gleaming sapphire sand sits on a stone pedestal in the center of ahall with vaulted ceilings and arched windows. Epic sense of scale, glamour shot.",fantasy;concept art
"Steampunk scene of a cybernetic elf princess with her futuristic technology-infused armor, against a backdrop of a bustling old-world city with steam-powered machines. Art Nouveau influences, intricate detailing with vibrant colors and warm lighting, rendered in 8K detail.",steampunk;fantasy;concept art
"Whimsical storybook scene of a glasses-wearing owl studying magical texts by candlelight within a treehouse library. Soft muted color palette and textured brushwork reminiscent of Mary Blair.",fantasy;whimsical;concept art
"Fantastical digital creature concept art depicting a glow winged unicorn emerging from a blooming lotus flower. Gentle lighting and soft colors in the whimsical style of Lois van Baarle.",fantasy;creature;concept art
"Minimalist graphic poster depicting apple silhouettes with leaves. Bold colors with white space similar to Saul Bass's iconic Vertigo poster.",minimalist;poster;graphic design
"A goblin sapper is hyperfocused on delicately disarming a complex mechanical explosive trap, tools in hand. The trap is made of spinning gears, springs, and magical sigils. Steampunk aesthetic.",fantasy;steampunk;concept art
"Classical Renaissance portrait of a tabby cat astronaut sitting proudly in her spacesuit before a launch to Mars. Dramatic chiaroscuro lighting.",sci-fi;animal;portrait;humor
"Atmospheric oil landscape of Death Valley's rugged badlands at sunset, with a abandoned rusted car. Loose painterly brushwork in earth hues similar to those of Colin Campbell Cooper.",landscape;oil painting
"1980s album cover style illustration of an electric guitar-playing angel rocking out on a mountaintop, with feathered wings spread. Rainbow sunbeams, clouds.",music;album cover;retro
"Clean line drawing of a perky magical girl with pink flowing hair, wearing a sparkly blue and pink dress with wings on the back, floating while winking peace signs.",anime;magical girl;line art
"Expressive sketch of a gentle princess with long black hair in an elegant bun, wearing a flowing emerald ballgown, singing on a stone balcony underneath hanging ivy vines.",fantasy;sketch;concept art
"The Undead Pirate King, a spectral figure with a ghostly glow, commands his ghost ship against a moody night sky. The scene is infused with intricate detailing and a blend of medieval and fantasy aesthetics.",fantasy;pirate;concept art
"A friendly ghost wearing a top hat and monocle, smiling while reading a book by candlelight in a cozy haunted library.",fantasy;whimsical;concept art
"Post-Apocalyptic Druid healing a barren land with green, glowing magic. The scene is filled with intricate details of recovering nature, contrasting the deep autumn colors of the destroyed cityscape with the vibrant spring colors of the healing lands.",post-apocalyptic;fantasy;concept art
"Splash art depicting a fierce paladin warrior maiden encased in shining holy armor engraved with wings, raising a glowing greatsword towards the heavens as radiant light shines down upon her with doves flying past. Painted in a bold dynamic fantasy art style.",fantasy;splash art;concept art
"Retro 80s movie poster for a cyborg detective film. Featuring the protagonist walking through rain under neon signs. Vibrant palette, optical glow effects, grid overlays in the style of Syd Mead.",sci-fi;retro;movie;poster
"A close-up portrait of a fairy with intricate butterfly wings, flower petal dress, and wild curly hair. Her eyes glow with magic. A soft natural lighting, detailed background of giant mushrooms and toadstools. In the style of Brian Froud.",fantasy;portrait;concept art
"Stylized anime character design of a cheerful pink-haired maid robot wearing a frilly uniform. Minimalist gradient shading and outlined linework reminiscent of huke's creations.",anime;robot;concept art
"A dark hooded executioner sharpening his huge ornate axe, lit dramatically from below, surrounded by gothic iron prison bars and torture devices. Sinister mood, inspired by Frazetta.",fantasy;dark;concept art
"Whimsical stained glass style illustration of a cheerful fairy dressed in petal gowns, fluttering on iridescent wings, spreading pixie dust sparkles everywhere. She has rosy cheeks, curly turquoise hair, antennae with beads. Soft lighting, bright shimmering colors resembling a storybook illustration.",fantasy;whimsical;stained glass
"Anime manga panel close-up of a girl's joyful expression gazing at fireworks exploding in a night sky. Detailed sparkle effects.",anime;manga;emotional
"Anime scene of a sweet maid with pink pigtails, wearing a frilly black and white dress, cheerfully watering flowers in the garden of a European castle.",anime;maid;slice of life
"Anime scene of a cheerful cafe waitress with short brown hair, wearing a frilly pink dress with a white apron, happily serving tea and cake to friends.",anime;slice of life;cafe
"Graphite pencil drawing portrait study of a bearded lumberjack character. Detailed texture on the flannel shirt, hat, and facial hair. Strong contrast shading in the realistic style of Artem Demura.",portrait;pencil drawing;realistic
"A robot chef cheerfully flipping burgers on a grill, realistic lighting and textures, commercial advertisement style.",robot;advertisement;concept art
"Splash art depicting a fierce paladin warrior maiden encased in shining holy armor engraved with wings, raising a glowing greatsword towards the heavens as radiant light shines down upon her with doves flying past. Painted in a bold dynamic fantasy art style.",fantasy;splash art;concept art
"Stylized character turnaround sheet depicting a cute astronaut girl with twintails. She wears a pastel pink and teal spacesuit decorated with stickers, and cheerfully carries star charts under her arm. Simple clean lines with bright colors and gradients.",sci-fi;character design;concept art
"A high-end professional DSLR camera on a tripod with softbox lighting setup, photographing a elegant glass perfume bottle with details visible through refractive glass. Shallow depth of field, product in focus.",product;photography;still life
"A group of happy colorful blob characters dancing together joyfully on a beach during a vibrant sunset.",cartoon;cute;whimsical
"A gremlin tinkerer sits amid a chaotic mess of scrap metal, tools, and half-built gadgets, happily welding a smoking contraption together, sparks flying.",fantasy;steampunk;concept art
"close-up portrait, Group of young cyberpunk women, wearing high-fashion swimwear, on a busy street at night. The scene captures a blend of casual and high-end fashion in a film-like setting, with intricate details, jewelry, and low light, in the style of Renoir and Vogue Italia., FUJI style",cyberpunk;fashion;portrait;editorial
